Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Feb 04, 2019",04/02/2019,76.75,76.55,77.79,75.18,247.44K,0.74%,,,04/02/2019,,77.79,,76.75,,,,,,,,,,
"Feb 05, 2019",05/02/2019,79.06,77.19,80.39,77.19,380.82K,3.01%,,,05/02/2019,,80.39,,79.06,,,,,,,,,,
"Feb 06, 2019",06/02/2019,78.39,79.08,81.25,78.3,366.16K,-0.85%,,,06/02/2019,,81.25,,78.39,,,,,,,,,,
"Feb 07, 2019",07/02/2019,77.73,78,79.08,76.26,296.99K,-0.84%,,,07/02/2019,,79.08,,77.73,,,,,,,,,,
"Feb 08, 2019",08/02/2019,78.69,77.48,79.18,76.53,221.37K,1.24%,,,08/02/2019,,79.18,,78.69,,,,,,,,,,
"Feb 11, 2019",11/02/2019,80.42,79.29,80.7,79.08,258.83K,2.20%,,,11/02/2019,,80.7,,80.42,,,,,,,,,,
"Feb 12, 2019",12/02/2019,81.72,80.62,81.84,79.85,212.62K,1.62%,,,12/02/2019,,81.84,,81.72,,,,,,,,,,
"Feb 13, 2019",13/02/2019,82.01,82,82.7,81.04,236.66K,0.35%,,,13/02/2019,,82.7,,82.01,,,,,,,,,,
"Feb 14, 2019",14/02/2019,81.52,81.87,82.98,80.95,397.33K,-0.60%,,,14/02/2019,,82.98,,81.52,,,,,,,,,,
"Feb 15, 2019",15/02/2019,83.34,81.71,83.46,81.36,246.92K,2.23%,,,15/02/2019,,83.46,,83.34,,,,,,,,,,
"Feb 19, 2019",19/02/2019,82.64,84.06,84.67,82.45,283.33K,-0.84%,,,19/02/2019,,84.67,,82.64,,,,,,,,,,
"Feb 20, 2019",20/02/2019,83.66,83.08,83.94,82.03,366.03K,1.23%,,,20/02/2019,,83.94,,83.66,,,,,,,,,,
"Feb 21, 2019",21/02/2019,78.35,86.55,86.7,74.25,1.01M,-6.35%,,,21/02/2019,,86.7,,78.35,,,,,,,,,,
"Feb 22, 2019",22/02/2019,81.47,78.35,82.58,77.15,479.53K,3.98%,,,22/02/2019,,82.58,,81.47,,,,,,,,,,
"Feb 25, 2019",25/02/2019,79.81,82.1,82.1,78.5,448.90K,-2.04%,,,25/02/2019,,82.1,,79.81,,,,,,,,,,
"Feb 26, 2019",26/02/2019,77.51,78.94,79.53,76.96,418.59K,-2.88%,,,26/02/2019,,79.53,,77.51,,,,,,,,,,
"Feb 27, 2019",27/02/2019,76.59,77.5,78.06,75.8,385.65K,-1.19%,,,27/02/2019,,78.06,,76.59,,,,,,,,,,
"Feb 28, 2019",28/02/2019,75.97,76.14,77.4,74.76,536.54K,-0.81%,,,28/02/2019,,77.4,,75.97,,,,,,,,,,
"Mar 01, 2019",01/03/2019,77.03,76.35,78.49,76.35,376.55K,1.40%,,,01/03/2019,,78.49,,77.03,,,,,,,,,,
