Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Aug 19, 2019",19/08/2019,74.22,75,75,73.59,293.03K,-0.56%,,,19/08/2019,,75,,74.22,,,,,,,,,,
"Aug 20, 2019",20/08/2019,73.86,74.36,74.56,73.76,348.61K,-0.49%,,,20/08/2019,,74.56,,73.86,,,,,,,,,,
"Aug 21, 2019",21/08/2019,74.35,74.3,74.58,73.86,210.97K,0.66%,,,21/08/2019,,74.58,,74.35,,,,,,,,,,
"Aug 22, 2019",22/08/2019,73.52,74.19,74.52,73.49,243.63K,-1.12%,,,22/08/2019,,74.52,,73.52,,,,,,,,,,
"Aug 23, 2019",23/08/2019,73.26,73.4,74.11,72.81,317.80K,-0.35%,,,23/08/2019,,74.11,,73.26,,,,,,,,,,
"Aug 26, 2019",26/08/2019,74.55,73.79,74.7,73.08,372.59K,1.76%,,,26/08/2019,,74.7,,74.55,,,,,,,,,,
"Aug 27, 2019",27/08/2019,73.64,74.75,75.05,73.4,221.56K,-1.22%,,,27/08/2019,,75.05,,73.64,,,,,,,,,,
"Aug 28, 2019",28/08/2019,74.47,73.4,74.5,73.24,454.18K,1.13%,,,28/08/2019,,74.5,,74.47,,,,,,,,,,
"Aug 29, 2019",29/08/2019,75.24,74.85,75.27,74.35,171.26K,1.03%,,,29/08/2019,,75.27,,75.24,,,,,,,,,,
"Aug 30, 2019",30/08/2019,76.66,75.4,77,74.09,549.34K,1.89%,,,30/08/2019,,77,,76.66,,,,,,,,,,
