"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","2.400","2.590","2.620","2.360","119.71K","-7.34%"
"Aug 08, 2019","2.590","2.650","2.730","2.450","81.06K","-2.26%"
"Aug 07, 2019","2.650","2.550","2.720","2.450","174.50K","-0.38%"
"Aug 06, 2019","2.660","2.730","2.730","2.450","192.73K","1.53%"
"Aug 05, 2019","2.620","2.740","2.740","2.430","267.79K","-2.24%"
"Aug 02, 2019","2.680","2.800","2.870","2.660","116.72K","-4.29%"
"Aug 01, 2019","2.800","2.900","3.040","2.760","152.99K","-2.10%"
"Jul 31, 2019","2.860","3.100","3.160","2.830","458.96K","-7.74%"
"Jul 30, 2019","3.100","2.860","3.120","2.860","324.28K","7.27%"
"Jul 29, 2019","2.890","3.280","3.350","2.730","640.89K","-11.62%"
"Jul 26, 2019","3.270","3.290","3.520","3.110","346.66K","5.83%"
"Jul 25, 2019","3.090","3.460","3.550","3.060","235.22K","-11.97%"
"Jul 24, 2019","3.510","3.280","3.600","3.190","292.04K","4.78%"
"Jul 23, 2019","3.350","3.610","3.650","3.210","443.46K","-7.20%"
"Jul 22, 2019","3.610","3.630","3.810","3.520","237.84K","1.12%"
"Jul 19, 2019","3.570","4.110","4.150","3.490","345.53K","-13.56%"
"Jul 18, 2019","4.130","4.300","4.440","4.080","145.43K","-4.40%"
"Jul 17, 2019","4.320","4.320","4.450","4.290","156.71K","-0.92%"
"Jul 16, 2019","4.360","4.660","4.690","4.340","249.50K","-5.63%"
"Jul 15, 2019","4.620","4.670","4.790","4.270","1.06M","6.94%"
"Jul 12, 2019","4.320","4.350","4.460","4.280","110.58K","-0.69%"
"Jul 11, 2019","4.350","4.440","4.480","4.180","56.90K","-1.58%"
"Jul 10, 2019","4.420","4.490","4.580","4.300","83.27K","-1.12%"
"Jul 09, 2019","4.470","4.430","4.560","4.260","142.76K","1.59%"
"Jul 08, 2019","4.400","4.510","4.570","4.210","203.72K","-2.22%"
"Jul 05, 2019","4.500","4.500","4.740","4.460","56.08K","0.00%"
"Jul 03, 2019","4.500","4.320","4.530","4.300","33.95K","5.14%"
"Jul 02, 2019","4.280","4.430","4.550","4.210","140.94K","-6.75%"
"Jul 01, 2019","4.590","4.740","4.980","4.530","222.30K","-3.16%"
"Jun 28, 2019","4.740","4.680","4.830","4.400","668.32K","1.94%"
"Jun 27, 2019","4.650","4.480","4.680","4.400","42.74K","4.73%"
"Jun 26, 2019","4.440","4.630","4.660","4.380","145.18K","-4.31%"
"Jun 25, 2019","4.640","4.690","4.710","4.530","119.86K","0.00%"
"Jun 24, 2019","4.640","4.590","4.680","4.450","95.76K","2.65%"
"Jun 21, 2019","4.520","4.590","4.750","4.440","88.90K","-2.38%"
"Jun 20, 2019","4.630","4.870","4.870","4.560","191.42K","-3.94%"
"Jun 19, 2019","4.820","4.960","5.020","4.800","81.91K","-3.21%"
"Jun 18, 2019","4.980","4.990","5.050","4.810","50.92K","0.40%"
"Jun 17, 2019","4.960","4.800","5.060","4.760","50.71K","3.55%"
"Jun 14, 2019","4.790","4.940","4.960","4.760","33.12K","-2.84%"
"Jun 13, 2019","4.930","4.920","5.050","4.760","81.47K","0.41%"
"Jun 12, 2019","4.910","4.990","5.220","4.700","244.91K","-1.80%"
"Jun 11, 2019","5.000","5.210","5.240","4.640","78.70K","-4.21%"
"Jun 10, 2019","5.220","5.210","5.340","5.060","105.50K","0.97%"
"Jun 07, 2019","5.170","5.320","5.410","5.140","79.38K","-3.18%"
"Jun 06, 2019","5.340","5.500","5.650","5.070","98.64K","-2.91%"
"Jun 05, 2019","5.500","5.100","5.550","4.970","322.34K","11.79%"
"Jun 04, 2019","4.920","5.150","5.150","4.800","199.75K","1.44%"
"Jun 03, 2019","4.850","4.980","4.980","4.700","69.41K","-0.61%"
"May 31, 2019","4.880","5.040","5.040","4.670","95.85K","-3.56%"
"May 30, 2019","5.060","5.480","5.480","4.730","145.47K","-0.98%"
"May 29, 2019","5.110","5.410","5.550","4.950","176.77K","-5.55%"
"May 28, 2019","5.410","5.250","5.580","5.110","224.74K","3.84%"
"May 24, 2019","5.210","5.340","5.650","5.010","192.35K","0.19%"
"May 23, 2019","5.200","4.650","5.330","4.510","132.41K","13.29%"
"May 22, 2019","4.590","5.110","5.130","4.500","134.00K","-9.65%"
"May 21, 2019","5.080","5.210","5.240","5.010","46.52K","-0.20%"
"May 20, 2019","5.090","5.030","5.230","5.030","97.31K","0.00%"
"May 17, 2019","5.090","5.220","5.260","5.020","68.59K","-3.05%"
"May 16, 2019","5.250","5.610","5.610","5.200","83.96K","-6.25%"
"May 15, 2019","5.600","5.630","5.710","5.250","61.62K","0.36%"
"May 14, 2019","5.580","5.450","5.940","5.200","103.28K","3.14%"
